time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,surface,radius_cm
151920,0.170028711804,0.169611971697,0.168356168942,0.166242983786,0.163238605822,0.159289075534,0.154309351817,0.148163849483,0.140627831150,0.131294014749,0.119307186463,0.102260234642,,,,,,,,,0.053897931650,1.200000000000
151980,0.169980325320,0.169563782340,0.168308571773,0.166196376888,0.163193393306,0.159245671759,0.154268188886,0.148125390294,0.140592593289,0.131262620885,0.119280489270,0.102239750581,,,,,,,,,0.053894173407,1.200000000000
152040,0.169931986014,0.169515639938,0.168261020893,0.166149815168,0.163148224411,0.159202309597,0.154227065105,0.148086967316,0.140557388187,0.131231255738,0.119253815982,0.102219284320,,,,,,,,,0.053890420606,1.200000000000
152100,0.169883693815,0.169467544421,0.168213516233,0.166103298559,0.163103099071,0.159158988988,0.154185980417,0.148048580495,0.140522215796,0.131199919267,0.119227166566,0.102198835834,,,,,,,,,0.053886673235,1.200000000000
152160,0.169835448652,0.169419495719,0.168166057723,0.166056826992,0.163058017222,0.159115709870,0.154144934764,0.148010229780,0.140487076070,0.131168611430,0.119200540987,0.102178405100,,,,,,,,,0.053882931285,1.200000000000
152220,0.169787250454,0.169371493762,0.168118645294,0.166010400400,0.163012978798,0.159072472181,0.154103928088,0.147971915117,0.140451968960,0.131137332187,0.119173939213,0.102157992093,,,,,,,,,0.053879194745,1.200000000000
152280,0.169739099152,0.169323538479,0.168071278877,0.165964018717,0.162967983736,0.159029275860,0.154062960332,0.147933636453,0.140416894420,0.131106081498,0.119147361211,0.102137596788,,,,,,,,,0.053875463604,1.200000000000
152340,0.169690994675,0.169275629800,0.168023958404,0.165917681875,0.162923031971,0.158986120846,0.154022031440,0.147895393737,0.140381852402,0.131074859321,0.119120806946,0.102117219162,,,,,,,,,0.053871737852,1.200000000000
152400,0.169642936952,0.169227767656,0.167976683806,0.165871389807,0.162878123439,0.158943007078,0.153981141353,0.147857186915,0.140346842861,0.131043665616,0.119094276385,0.102096859191,,,,,,,,,0.053868017479,1.200000000000
152460,0.169594925915,0.169179951978,0.167929455013,0.165825142448,0.162833258075,0.158899934495,0.153940290016,0.147819015936,0.140311865749,0.131012500342,0.119067769496,0.102076516849,,,,,,,,,0.053864302474,1.200000000000
152520,0.169546961493,0.169132182695,0.167882271959,0.165778939729,0.162788435816,0.158856903036,0.153899477370,0.147780880747,0.140276921019,0.130981363459,0.119041286245,0.102056192115,,,,,,,,,0.053860592827,1.200000000000
152580,0.169499043616,0.169084459738,0.167835134575,0.165732781586,0.162743656597,0.158813912641,0.153858703360,0.147742781297,0.140242008624,0.130950254927,0.119014826600,0.102035884962,,,,,,,,,0.053856888528,1.200000000000
152640,0.169451172214,0.169036783039,0.167788042791,0.165686667950,0.162698920355,0.158770963249,0.153817967928,0.147704717533,0.140207128519,0.130919174705,0.118988390527,0.102015595368,,,,,,,,,0.053853189566,1.200000000000
152700,0.169403347219,0.168989152528,0.167740996542,0.165640598757,0.162654227025,0.158728054799,0.153777271019,0.147666689403,0.140172280656,0.130888122752,0.118961977993,0.101995323308,,,,,,,,,0.053849495932,1.200000000000
152760,0.169355568562,0.168941568136,0.167693995758,0.165594573941,0.162609576546,0.158685187231,0.153736612576,0.147628696856,0.140137464990,0.130857099030,0.118935588965,0.101975068759,,,,,,,,,0.053845807614,1.200000000000
152820,0.169307836172,0.168894029795,0.167647040372,0.165548593434,0.162564968852,0.158642360485,0.153695992542,0.147590739839,0.140102681473,0.130826103497,0.118909223411,0.101954831696,,,,,,,,,0.053842124603,1.200000000000
152880,0.169260149981,0.168846537435,0.167600130316,0.165502657172,0.162520403881,0.158599574501,0.153655410861,0.147552818302,0.140067930060,0.130795136114,0.118882881298,0.101934612097,,,,,,,,,0.053838446888,1.200000000000
152940,0.169212509920,0.168799090988,0.167553265523,0.165456765089,0.162475881570,0.158556829218,0.153614867477,0.147514932193,0.140033210705,0.130764196841,0.118856562593,0.101914409936,,,,,,,,,0.053834774460,1.200000000000
153000,0.169164915920,0.168751690387,0.167506445926,0.165410917119,0.162431401855,0.158514124578,0.153574362335,0.147477081461,0.139998523361,0.130733285638,0.118830267264,0.101894225191,,,,,,,,,0.053831107308,1.200000000000
153060,0.169117367913,0.168704335561,0.167459671457,0.165365113197,0.162386964674,0.158471460520,0.153533895378,0.147439266053,0.139963867983,0.130702402464,0.118803995277,0.101874057838,,,,,,,,,0.053827445422,1.200000000000
153120,0.169069865830,0.168657026445,0.167412942050,0.165319353258,0.162342569964,0.158428836984,0.153493466550,0.147401485920,0.139929244524,0.130671547282,0.118777746601,0.101853907853,,,,,,,,,0.053823788792,1.200000000000
153180,0.169022409603,0.168609762968,0.167366257637,0.165273637236,0.162298217661,0.158386253911,0.153453075796,0.147363741010,0.139894652940,0.130640720050,0.118751521204,0.101833775213,,,,,,,,,0.053820137408,1.200000000000
153240,0.168974999164,0.168562545065,0.167319618151,0.165227965066,0.162253907705,0.158343711242,0.153412723061,0.147326031271,0.139860093183,0.130609920729,0.118725319051,0.101813659894,,,,,,,,,0.053816491259,1.200000000000
153300,0.168927634444,0.168515372666,0.167273023527,0.165182336684,0.162209640031,0.158301208917,0.153372408289,0.147288356654,0.139825565210,0.130579149280,0.118699140112,0.101793561872,,,,,,,,,0.053812850337,1.200000000000
153360,0.168880315376,0.168468245705,0.167226473697,0.165136752025,0.162165414578,0.158258746877,0.153332131424,0.147250717107,0.139791068973,0.130548405663,0.118672984355,0.101773481125,,,,,,,,,0.053809214631,1.200000000000
153420,0.168833041891,0.168421164113,0.167179968595,0.165091211023,0.162121231284,0.158216325064,0.153291892412,0.147213112579,0.139756604429,0.130517689840,0.118646851746,0.101753417628,,,,,,,,,0.053805584130,1.200000000000
153480,0.168785813923,0.168374127824,0.167133508155,0.165045713616,0.162077090086,0.158173943418,0.153251691196,0.147175543021,0.139722171531,0.130487001770,0.118620742253,0.101733371359,,,,,,,,,0.053801958826,1.200000000000
153540,0.168738631404,0.168327136770,0.167087092311,0.165000259737,0.162032990923,0.158131601879,0.153211527723,0.147138008381,0.139687770234,0.130456341415,0.118594655846,0.101713342294,,,,,,,,,0.053798338707,1.200000000000
153600,0.168691494265,0.168280190885,0.167040720996,0.164954849324,0.161988933732,0.158089300391,0.153171401938,0.147100508609,0.139653400493,0.130425708736,0.118568592491,0.101693330410,,,,,,,,,0.053794723765,1.200000000000
153660,0.168644402441,0.168233290101,0.166994394145,0.164909482311,0.161944918453,0.158047038894,0.153131313785,0.147063043655,0.139619062263,0.130395103692,0.118542552156,0.101673335683,,,,,,,,,0.053791113989,1.200000000000
153720,0.168597355863,0.168186434352,0.166948111692,0.164864158635,0.161900945023,0.158004817329,0.153091263210,0.147025613469,0.139584755498,0.130364526247,0.118516534810,0.101653358091,,,,,,,,,0.053787509370,1.200000000000
153780,0.168550354466,0.168139623570,0.166901873571,0.164818878232,0.161857013381,0.157962635638,0.153051250158,0.146988218000,0.139550480155,0.130333976360,0.118490540422,0.101633397610,,,,,,,,,0.053783909897,1.200000000000
