time_s,radius_m,min_C,max_C_all_grid_nodes,mean_C_dry_mass_weighted,max_node
45720,0.02,0.14655159732556428,0.42714463945467085,0.31557614940966616,0
45780,0.02,0.14617193717766874,0.4265044688186802,0.3151136136394076,0
45840,0.02,0.14579405719043362,0.42586649812814092,0.3146528959629209,0
45900,0.02,0.14541795097500751,0.42523071831787579,0.31419398785076763,0
45960,0.02,0.14504361214046205,0.42459712035970004,0.31373688080418033,0
46020,0.02,0.14467103429375758,0.42396569526229283,0.31328156635507309,0
46080,0.02,0.14430021103971571,0.42333643407106947,0.31282803606605214,0
46140,0.02,0.14393113598099821,0.42270932786805365,0.31237628153042502,0
46200,0.02,0.14356380271809296,0.42208436777175035,0.31192629437221292,0
46260,0.02,0.14319820484930651,0.42146154493701871,0.31147806624615815,0
46320,0.02,0.14283433597076314,0.4208408505549458,0.3110315888377379,0
46380,0.02,0.1424721896764109,0.42022227585272004,0.31058685386317281,0
46440,0.02,0.14211175955803401,0.4196058120935055,0.3101438530694372,0
46500,0.02,0.14175303920527221,0.4189914505763162,0.30970257823427055,0
46560,0.02,0.14139602220564648,0.41837918263589108,0.30926302116618715,0
46620,0.02,0.14104070214459136,0.41776899964256892,0.30882517370448626,0
46680,0.02,0.14068707260549404,0.41716089300216397,0.30838902771926135,0
46740,0.02,0.14033512716973975,0.41655485415584143,0.307954575111411,0
46800,0.02,0.13998485941676375,0.41595087457999402,0.30752180781264765,0
46860,0.02,0.13963626292410966,0.41534894578611792,0.30709071778550773,0
46920,0.02,0.13928933126749432,0.41474905932068989,0.30666129702335859,0
46980,0.02,0.13894405802087895,0.41415120676504424,0.3062335375504095,0
47040,0.02,0.13860043675654649,0.41355537973525019,0.30580743142171807,0
47100,0.02,0.13825846104518535,0.41296156988198973,0.30538297072319898,0
47160,0.02,0.13791812445597923,0.41236976889043558,0.3049601475716317,0
47220,0.02,0.13757942055670302,0.41177996848012971,0.3045389541146663,0
47280,0.02,0.13724234291382492,0.4111921604048619,0.30411938253083148,0
47340,0.02,0.13690688509261437,0.41060633645254885,0.30370142502953884,0
47400,0.02,0.13657304065725578,0.41002248844511352,0.30328507385109094,0
47460,0.02,0.13624080317096854,0.40944060823836492,0.30287032126668217,0
47520,0.02,0.13591016619613225,0.40886068772187778,0.30245715957840835,0
47580,0.02,0.13558112329441788,0.40828271881887318,0.30204558111926544,0
47640,0.02,0.13525366802692448,0.40770669348609906,0.30163557825315568,0
47700,0.02,0.13492779395432145,0.40713260371371096,0.30122714337488932,0
47760,0.02,0.13460349463699595,0.40656044152515364,0.30082026891018598,0
47820,0.02,0.13428076363520594,0.40599019897704219,0.30041494731567536,0
47880,0.02,0.13395959450923817,0.4054218681590443,0.30001117107889819,0
47940,0.02,0.13363998081957135,0.40485544119376216,0.29960893271830574,0
48000,0.02,0.13332191612704447,0.40429091023661501,0.29920822478325809,0
48060,0.02,0.13300539399302971,0.40372826747572199,0.29880903985402152,0
48120,0.02,0.13269040797961046,0.40316750513178523,0.29841137054176653,0
48180,0.02,0.13237695164976374,0.40260861545797316,0.29801520948856364,0
48240,0.02,0.13206501856754743,0.40205159073980423,0.29762054936737875,0
48300,0.02,0.1317546022982917,0.40149642329503099,0.29722738288206607,0
48360,0.02,0.131445696408795,0.40094310547352446,0.29683570276736482,0
48420,0.02,0.13113829446752415,0.40039162965715841,0.29644550178888784,0
48480,0.02,0.13083239004481842,0.39984198825969469,0.29605677274311587,0
48540,0.02,0.13052797671309788,0.39929417372666826,0.29566950845738665,0
48600,0.02,0.13022504804707527,0.39874817853527256,0.29528370178988522,0
48660,0.02,0.12992359762397176,0.39820399519424549,0.2948993456296321,0
48720,0.02,0.12962361902373631,0.39766161624375562,0.29451643289647045,0
48780,0.02,0.12932510582926834,0.39712103425528822,0.29413495654105265,0
48840,0.02,0.12902805162664405,0.39658224183153234,0.29375490954482558,0
48900,0.02,0.1287324500053455,0.39604523160626759,0.29337628492001561,0
48960,0.02,0.12843829455849318,0.39550999624425143,0.29299907570960987,0
49020,0.02,0.1281455788830812,0.39497652844110687,0.29262327498734009,0
49080,0.02,0.12785429658021549,0.39444482092321015,0.29224887585766218,0
49140,0.02,0.1275644412553546,0.39391486644757912,0.29187587145573685,0
49200,0.02,0.12727600651855292,0.39338665780176141,0.2915042549474075,0
49260,0.02,0.12698898598470651,0.39286018780372356,0.29113401952917722,0
49320,0.02,0.12670337327380102,0.39233544930173947,0.29076515842818623,0
49380,0.02,0.12641916201116174,0.39181243517428038,0.29039766490218599,0
49440,0.02,0.12613634582770578,0.39129113832990392,0.29003153223951272,0
49500,0.02,0.12585491836019588,0.39077155170714434,0.28966675375906048,0
49560,0.02,0.12557487325149622,0.39025366827440244,0.28930332281025212,0
49620,0.02,0.12529620415082934,0.38973748102983624,0.28894123277301015,0
49680,0.02,0.12501890471403512,0.38922298300125158,0.28858047705772488,0
49740,0.02,0.12474296860383044,0.38871016724599317,0.28822104910522139,0
49800,0.02,0.12446838949007046,0.3881990268508359,0.28786294238672799,0
49860,0.02,0.1241951610500107,0.38768955493187635,0.2875061504038387,0
49920,0.02,0.12392327696857004,0.3871817446344249,0.28715066668847938,0
49980,0.02,0.12365273093859454,0.38667558913289757,0.28679648480286901,0
50040,0.02,0.12338351666112181,0.38617108163070862,0.28644359833948135,0
50100,0.02,0.12311562784564598,0.38566821536016316,0.28609200092100529,0
50160,0.02,0.12284905821038289,0.38516698358235024,0.28574168620030277,0
50220,0.02,0.12258380148253561,0.38466737958703601,0.28539264786036694,0
50280,0.02,0.12231985139856004,0.38416939669255734,0.2850448796142791,0
50340,0.02,0.12205720170443043,0.38367302824571548,0.28469837520516184,0
50400,0.02,0.12179584615590487,0.3831782676216704,0.28435312840613364,0
50460,0.02,0.12153577851879034,0.38268510822383489,0.28400913302026237,0
50520,0.02,0.12127699256920747,0.38219354348376927,0.28366638288051449,0
50580,0.02,0.12101948209385471,0.38170356686107643,0.28332487184970612,0
50640,0.02,0.12076324089027198,0.38121517184329679,0.28298459382045088,0
50700,0.02,0.12050826276710329,0.38072835194580396,0.28264554271510867,0
50760,0.02,0.1202545415443588,0.38024310071170037,0.28230771248572933,0
50820,0.02,0.12000207105367564,0.37975941171171312,0.2819710971140002,0
50880,0.02,0.11975084513857774,0.37927727854409055,0.28163569061118748,0
50940,0.02,0.11950085765473439,0.37879669483449857,0.28130148701807967,0
51000,0.02,0.11925210247021747,0.3783176542359174,0.28096848040492844,0
51060,0.02,0.11900457346575727,0.37784015042853886,0.28063666487138805,0
51120,0.02,0.1187582645349967,0.37736417711966358,0.28030603454645525,0
51180,0.02,0.118513169584744,0.37688972804359844,0.27997658358840494,0
51240,0.02,0.11826928253522351,0.37641679696155489,0.27964830618472764,0
51300,0.02,0.11802659732032467,0.37594537766154656,0.27932119655206383,0
51360,0.02,0.11778510788784914,0.37547546395828812,0.27899524893613825,0
51420,0.02,0.11754480819975588,0.37500704969309351,0.27867045761169246,0
51480,0.02,0.11730569223240396,0.37454012873377535,0.27834681688241603,0
51540,0.02,0.1170677539767933,0.37407469497454376,0.2780243210808766,0
51600,0.02,0.11683098743880305,0.37361074233590597,0.27770296456844978,0
51660,0.02,0.1165953866394276,0.37314826476456603,0.27738274173524674,0
51720,0.02,0.11636094561501012,0.37268725623332488,0.27706364700004132,0
51780,0.02,0.11612765841747352,0.37222771074098043,0.2767456748101948,0
51840,0.02,0.11589551911454886,0.3717696223122281,0.27642881964158245,0
51900,0.02,0.11566452179000093,0.37131298499756171,0.2761130759985157,0
51960,0.02,0.11543466054385128,0.37085779287317461,0.27579843841366414,0
52020,0.02,0.11520592949259816,0.37040404004086053,0.27548490144797905,0
52080,0.02,0.11497832276943375,0.36995172062791554,0.2751724596906116,0
52140,0.02,0.11475183452445832,0.36950082878703983,0.27486110775883371,0
52200,0.02,0.11452645892489145,0.36905135869623951,0.27455084029795612,0
52260,0.02,0.11430219015528004,0.36860330455872925,0.27424165198124401,0
52320,0.02,0.11407902241770326,0.3681566606028347,0.27393353750983612,0
52380,0.02,0.1138569499319744,0.36771142108189531,0.2736264916126584,0
52440,0.02,0.11363596693583923,0.36726758027416745,0.27332050904633848,0
52500,0.02,0.1134160676851713,0.36682513248272802,0.27301558459511921,0
52560,0.02,0.11319724645416383,0.36638407203537765,0.27271171307077197,0
52620,0.02,0.11297949753551813,0.36594439328454487,0.27240888931250723,0
52680,0.02,0.11276281524062873,0.36550609060719003,0.27210710818688588,0
52740,0.02,0.11254719389976499,0.36506915840470988,0.27180636458772861,0
52800,0.02,0.11233262786224923,0.36463359110284221,0.27150665343602554,0
52860,0.02,0.11211911149663135,0.36419938315157041,0.27120796967984379,0
52920,0.02,0.1119066391908598,0.36376652902502904,0.27091030829423512,0
52980,0.02,0.11169520535244915,0.36333502322140904,0.27061366428114181,0
53040,0.02,0.11148480440864383,0.36290486026286323,0.27031803266930332,0
53100,0.02,0.11127543080657848,0.36247603469541262,0.27002340851415979,0
53160,0.02,0.11106707901343439,0.36204854108885215,0.26972978689775845,0
53220,0.02,0.11085974351659252,0.36162237403665726,0.26943716292865433,0
53280,0.02,0.11065341882378259,0.36119752815589073,0.26914553174181521,0
53340,0.02,0.11044809946322871,0.3607739980871093,0.26885488849852207,0
53400,0.02,0.1102437799837911,0.36035177849427102,0.26856522838627073,0
53460,0.02,0.11004045495510421,0.35993086406464259,0.26827654661867328,0
53520,0.02,0.10983811896771102,0.35951124950870716,0.26798883843535753,0
53580,0.02,0.10963676663319373,0.35909292956007205,0.26770209910186554,0
53640,0.02,0.10943639258430056,0.35867589897537716,0.26741632390955339,0
53700,0.02,0.10923699147506892,0.35826015253420307,0.26713150817548892,0
53760,0.02,0.10903855798094482,0.35784568503898012,0.26684764724234961,0
53820,0.02,0.10884108679889853,0.35743249131489696,0.2665647364783183,0
53880,0.02,0.10864457264753649,0.35702056620980988,0.26628277127698141,0
53940,0.02,0.10844901026720953,0.35660990459415232,0.26600174705722346,0
54000,0.02,0.10825439442011736,0.35620050136084447,0.2657216592631228,0
54060,0.02,0.10806071989040936,0.35579235142520299,0.26544250336384678,0
54120,0.02,0.10786798148428164,0.35538544972485153,0.26516427485354599,0
54180,0.02,0.10767617403007053,0.35497979121963086,0.26488696925124827,0
54240,0.02,0.1074852923783422,0.35457537089150976,0.26461058210075172,0
54300,0.02,0.10729533140197885,0.35417218374449566,0.26433510897051837,0
54360,0.02,0.10710628599626107,0.35377022480454606,0.26406054545356683,0
54420,0.02,0.1069181510789468,0.3533694891194798,0.26378688716736448,0
54480,0.02,0.1067309215903465,0.35296997175888872,0.26351412975371952,0
54540,0.02,0.10654459249339482,0.35257166781404969,0.26324226887867141,0
