时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
155700,0.169296141650,0.169183698607,0.168845561134,0.168279268872,0.167480596533,0.166443353961,0.165159077295,0.163616576037,0.161801279125,0.159694288007,0.157270984483,0.154498932695,0.151334608835,0.147718075701,0.143563810686,0.138743715316,0.133052413102,0.126125884321,0.117205407553,0.104124076996,0.054413873712
155760,0.169265592515,0.169153184602,0.168815152671,0.168249036820,0.167450612553,0.166413690872,0.165129809517,0.163587780113,0.161773034383,0.159666677416,0.157244095781,0.154472859949,0.151309454648,0.147693954478,0.143540853711,0.138722079142,0.133032294654,0.126107551514,0.117189274148,0.104110962459,0.054410395698
155820,0.169235067567,0.169122694753,0.168784768268,0.168218828669,0.167420652249,0.166384051171,0.165100564771,0.163559006798,0.161744811758,0.159639088376,0.157217227990,0.154446807394,0.151284319846,0.147669851741,0.143517914214,0.138700459314,0.133012191264,0.126089232273,0.117173152501,0.104097857270,0.054406922046
155880,0.169204566776,0.169092229029,0.168754407895,0.168188644389,0.167390715592,0.166354434828,0.165071343028,0.163530256063,0.161716611221,0.159611520860,0.157190381084,0.154420775005,0.151259204404,0.147645767464,0.143494992172,0.138678855810,0.132992102915,0.126070926580,0.117157042600,0.104084761416,0.054403452748
155940,0.169174090111,0.169061787399,0.168724071521,0.168158483948,0.167360802551,0.166324841814,0.165042144259,0.163501527879,0.161688432744,0.159583974841,0.157163555035,0.154394762755,0.151234108298,0.147621701625,0.143472087564,0.138657268611,0.132972029587,0.126052634420,0.117140944429,0.104071674886,0.054399987796
156000,0.169143637541,0.169031369832,0.168693759115,0.168128347317,0.167330913097,0.166295272097,0.165012968434,0.163472822219,0.161660276299,0.159556450290,0.157136749818,0.154368770619,0.151209031504,0.147597654201,0.143449200367,0.138635697697,0.132951971263,0.126034355776,0.117124857974,0.104058597670,0.054396527184
156060,0.169113209035,0.169000976298,0.168663470646,0.168098234464,0.167301047198,0.166265725648,0.164983815523,0.163444139051,0.161632141857,0.159528947182,0.157109965406,0.154342798572,0.151183973997,0.147573625169,0.143426330561,0.138614143046,0.132931927923,0.126016090631,0.117108783222,0.104045529757,0.054393070904
156120,0.169082804561,0.168970606764,0.168633206083,0.168068145360,0.167271204825,0.166236202438,0.164954685498,0.163415478349,0.161604029391,0.159501465488,0.157083201773,0.154316846589,0.151158935752,0.147549614505,0.143403478123,0.138592604640,0.132911899549,0.125997838969,0.117092720157,0.104032471134,0.054389618947
156180,0.169052424089,0.168940261201,0.168602965396,0.168038079973,0.167241385948,0.166206702437,0.164925578329,0.163386840084,0.161575938873,0.159474005182,0.157056458892,0.154290914643,0.151133916747,0.147525622187,0.143380643033,0.138571082458,0.132891886123,0.125979600773,0.117076668767,0.104019421792,0.054386171308
156240,0.169022067589,0.168909939578,0.168572748555,0.168008038273,0.167211590536,0.166177225615,0.164896493987,0.163358224226,0.161547870274,0.159446566236,0.157029736737,0.154265002711,0.151108916956,0.147501648192,0.143357825267,0.138549576480,0.132871887626,0.125961376028,0.117060629037,0.104006381718,0.054382727978
