时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
23940,0.913441544433,0.912397065313,0.909263405107,0.904039818524,0.896724800321,0.887315672553,0.875807967640,0.862194562112,0.846464492608,0.828601351757,0.808581109805,0.786369126297,0.761915982834,0.735151542088,0.705976238954,0.674247868936,0.639760683327,0.602210534616,0.561132772751,0.515781507731,0.464864883949
24000,0.910984908237,0.909943032067,0.906817172394,0.901606558872,0.894309644159,0.884923690591,0.873444152329,0.859863807656,0.844171572784,0.826350894372,0.806377565990,0.784216731737,0.759818706220,0.733113012756,0.703999639626,0.672335767609,0.637914753786,0.600431060140,0.559417692672,0.514124391519,0.463249982051
24060,0.908537649046,0.907498366966,0.904380281283,0.899182596712,0.891903724003,0.882540866045,0.871089399081,0.857542003569,0.841887475786,0.824109116981,0.804182544668,0.782072688177,0.757729595810,0.731082452190,0.702030799498,0.670431203917,0.636076127511,0.598658638708,0.557709390837,0.512473729609,0.461641085120
24120,0.906099730555,0.905063033744,0.901952695627,0.896767896094,0.889507004182,0.880167163597,0.868743673009,0.855229115468,0.839612167806,0.821875986423,0.801996013397,0.779936963959,0.755648620800,0.729059830511,0.700069689691,0.668534150060,0.634244777866,0.596893244936,0.556007843182,0.510829499200,0.460038170860
24180,0.903671116604,0.902636996281,0.899534379424,0.894362421216,0.887119449166,0.877802548068,0.866406939360,0.852925109101,0.837345615164,0.819651469660,0.799817939853,0.777809527541,0.753575750499,0.727045117949,0.698116281431,0.666644578337,0.632420678308,0.595134853529,0.554313025735,0.509191677583,0.458441217060
24240,0.901251771176,0.900220218599,0.897125296815,0.891966136412,0.884741023564,0.875446984418,0.864079163518,0.850629950347,0.835087784311,0.817435533782,0.797648291832,0.775690347497,0.751510954328,0.725038284841,0.696170546043,0.664762461141,0.630603802387,0.593383439286,0.552624914611,0.507560242132,0.456850201593
24300,0.898841658399,0.897812664865,0.894725412085,0.889579006163,0.882371692128,0.873100437742,0.861760311000,0.848343605219,0.832838641822,0.815228146001,0.795487037252,0.773579392517,0.749454201817,0.723039301630,0.694232454955,0.662887770968,0.628794123749,0.591638977093,0.550943486015,0.505935170314,0.455265102413
24360,0.896440742542,0.895414299388,0.892334689657,0.887200995085,0.880011419743,0.870762873273,0.859450347456,0.846066039858,0.830598154401,0.813029273653,0.793334144148,0.771476631404,0.747405462607,0.721048138865,0.692301979699,0.661020480407,0.626991616131,0.589901441928,0.549268716240,0.504316439681,0.453685897559
24420,0.894048988018,0.893025086619,0.889953094098,0.884832067936,0.877660171435,0.868434256379,0.857149238671,0.843797220536,0.828366288878,0.810838884194,0.791189580673,0.769382033078,0.745364706451,0.719064767200,0.690379091905,0.659160562147,0.625196253365,0.588170808860,0.547600581667,0.502704027876,0.452112565152
24480,0.891666359379,0.890644991147,0.887580590112,0.882472189613,0.875317912368,0.866114552562,0.854856950560,0.841537113652,0.826143012210,0.808656945206,0.789053315102,0.767295566571,0.743331903210,0.717089157395,0.688463763306,0.657307988972,0.623408009375,0.586447053047,0.545939058766,0.501097912626,0.450545083395
24540,0.889292821318,0.888273977703,0.885217142546,0.880121325151,0.872984607838,0.863803727460,0.852573449170,0.839285685737,0.823928291477,0.806483424390,0.786925315824,0.765217201030,0.741307022853,0.715121280315,0.686555965735,0.655462733762,0.621626858179,0.584730149735,0.544284124093,0.499498071748,0.448983430575
24600,0.886928338666,0.885912011158,0.882862716382,0.877779439720,0.870660223282,0.861501746841,0.850298700679,0.837042903447,0.821722093884,0.804318289568,0.784805551347,0.763146905713,0.739290035461,0.713161106929,0.684655671125,0.653624769496,0.619852773886,0.583020074263,0.542635754293,0.497904483145,0.447427585061
24660,0.884572876394,0.883559056520,0.880517276740,0.875446498628,0.868344724266,0.859208576609,0.848032671396,0.834808733566,0.819524386762,0.802161508684,0.782693990294,0.761084649994,0.737280911222,0.711208608311,0.682762851508,0.651794069245,0.618085730696,0.581316802054,0.540993926098,0.496317124809,0.445877525304
