time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,surface,radius_cm
25980,1.435275659346,1.428728982908,1.409150575399,1.376719765672,1.331727322762,1.274561892896,1.205687715652,1.125608863723,1.034810545666,0.933656990226,0.822196097213,0.699729232685,0.563641184338,0.404781507207,,,,,,,0.348076556080,1.330066666667
26040,1.431692212405,1.425158172323,1.405617790792,1.373250216888,1.328345872330,1.271292820994,1.202554390800,1.122633283598,1.032012679357,0.931053750201,0.819799454478,0.697541926407,0.561642211107,0.402862378859,,,,,,,0.347168607081,1.329533333333
26100,1.428117597725,1.421596192694,1.402093830137,1.369789472777,1.324973184956,1.268032435860,1.199429628563,1.119666081273,1.029222933071,0.928458285490,0.817410136673,0.695360258044,0.559648787895,0.400946480678,,,,,,,0.346262923600,1.329000000000
26160,1.424551809705,1.418043037969,1.398578686064,1.366337523934,1.321609248698,1.264780722770,1.196313411434,1.116707236552,1.026441283851,0.925870570174,0.815026930458,0.693184484465,0.557660891544,0.399033870326,,,,,,,0.345359514223,1.328466666667
26220,1.420994842483,1.414498701838,1.395072350978,1.362894360773,1.318254051484,1.261537666923,1.193205721860,1.113756729191,1.023667708695,0.923289477108,0.812650735853,0.691015413120,0.555678488314,0.397124521102,,,,,,,0.344458385804,1.327933333333
26280,1.417446689936,1.410963177744,1.391574817063,1.359459973529,1.314907581115,1.258303253440,1.190106542242,1.110814538900,1.020901363322,0.920715963328,0.810281787971,0.688853021044,0.553701601603,0.395218304026,,,,,,,0.343559543742,1.327400000000
26340,1.413907345693,1.407436458890,1.388086076287,1.356034352262,1.311569825267,1.255077467362,1.187015854926,1.107880371878,1.018142778181,0.918150126098,0.807920060817,0.686697285934,0.551730151442,0.393315373573,,,,,,,0.342662992207,1.326866666667
26400,1.410376803137,1.403918538239,1.384606120407,1.352617486860,1.308240771489,1.251860293651,1.183933642209,1.104953768924,1.015392202245,0.915591940215,0.805565528948,0.684548186040,0.549764206036,0.391415415505,,,,,,,0.341768734313,1.326333333333
26460,1.406855055408,1.400409408523,1.381134940974,1.349209367043,1.304920407210,1.248651717184,1.180859610322,1.102035426116,1.012649612517,0.913041380724,0.803218167429,0.682405700089,0.547803640860,0.389518666440,,,,,,,0.340876772275,1.325800000000
26520,1.403342095411,1.396909062249,1.377672529336,1.345809982369,1.301608719737,1.245451722760,1.177793413820,1.099125322997,1.009914986060,0.910498422926,0.800877951798,0.680269680169,0.545848546413,0.387624915831,,,,,,,0.339987107522,1.325266666667
26580,1.399837915823,1.393417491699,1.374218876644,1.342419322230,1.298305696256,1.242260295091,1.174735642419,1.096223439093,1.007188300013,0.907963042382,0.798544858029,0.678138398949,0.543898817391,0.385734191889,,,,,,,0.339099740806,1.324733333333
26640,1.396342509094,1.389934688941,1.370773973854,1.339037375862,1.295011323833,1.239076984475,1.171686278183,1.093329753921,1.004469531605,0.905435214913,0.796218040970,0.676013671669,0.541954503690,0.383846495176,,,,,,,0.338214672280,1.324200000000
26700,1.392855867455,1.386460645828,1.367337811735,1.335664132344,1.291725589418,1.235901883176,1.168645303123,1.090444246998,1.001758658165,0.902914916599,0.793897678336,0.673895478354,0.540015539096,0.381961630361,,,,,,,0.337331901577,1.323666666667
26760,1.389377982920,1.382995354008,1.363910380867,1.332299580603,1.288448479842,1.232735305798,1.165612699206,1.087566897850,0.999055657131,0.900401223912,0.791584370905,0.671783799255,0.538081934617,0.380079778549,,,,,,,0.336451427867,1.323133333333
26820,1.385908847294,1.379538804924,1.360491671650,1.328943709411,1.285179981822,1.229577236714,1.162588448354,1.084697686014,0.996360506059,0.897894704772,0.789278096070,0.669678614825,0.536153661456,0.378200644579,,,,,,,0.335573249912,1.322600000000
26880,1.382448452173,1.376090989820,1.357081674305,1.325596507395,1.281919789617,1.226427660220,1.159572532452,1.081836591052,0.993672683723,0.895395648299,0.786978831520,0.667579905695,0.534230693492,0.376324387720,,,,,,,0.334697366110,1.322066666667
26940,1.378996788955,1.372651899746,1.353680378877,1.322257963036,1.278667846310,1.223286560532,1.156564933349,1.078983592556,0.990992093125,0.892904031523,0.784686555217,0.665487652653,0.532313037638,0.374450880763,,,,,,,0.333823774539,1.321533333333
27000,1.375553849299,1.369221526019,1.350287775692,1.318928065108,1.275424477409,1.220153922196,1.153565633241,1.076138670498,0.988319290260,0.890419831980,0.782401245622,0.663400642288,0.530400632602,0.372580031331,,,,,,,0.332952455524,1.321000000000
27060,1.372120142171,1.365802299850,1.346911964214,1.315624224680,1.272220121280,1.217076295178,1.150640327391,1.073389324619,0.985766993764,0.888083277336,0.780294138520,0.661527923985,0.528751898263,0.371065791899,,,,,,,0.332078203431,1.320666666667
27120,1.368696173113,1.362392790293,1.343545803083,1.312329919581,1.269025132632,1.214007804015,1.147723855617,1.070647990561,0.983222692199,0.885754170211,0.778193851242,0.659661329472,0.527108249964,0.369551865476,,,,,,,0.331202594418,1.320333333333
27180,1.365281924084,1.358992979025,1.340189273163,1.309045129423,1.265839489521,1.210948425077,1.144816192670,1.067915087387,0.980686358420,0.883432484012,0.776100002500,0.657800833476,0.525469477437,0.368039182312,,,,,,,0.330327314958,1.320000000000
27240,1.361877377203,1.355602847887,1.336842355498,1.305769834022,1.262663170228,1.207898134987,1.141917313590,1.065190588879,0.978157965670,0.881118192562,0.774012381958,0.655946396929,0.523835402135,0.366528207968,,,,,,,0.329452941484,1.319666666667
27300,1.358482514436,1.352222378575,1.333505031003,1.302504013092,1.259496152972,1.204856910349,1.139027193448,1.062474468920,0.975637487366,0.878811269867,0.771931508349,0.654097966539,0.522205922669,0.365019216549,,,,,,,0.328579799814,1.319333333333
27360,1.355097317602,1.348851552643,1.330177280471,1.299247646252,1.256338415908,1.201824727746,1.136145807351,1.059766701493,0.973124897084,0.876511689960,0.769857353091,0.652255484563,0.520580985073,0.363512388788,,,,,,,0.327708104587,1.319000000000
27420,1.351721768374,1.345490351504,1.326859084573,1.296000699888,1.253189937135,1.198801563747,1.133273106989,1.057067260680,0.970620168543,0.874219393776,0.767789884686,0.650418895411,0.518960562546,0.362007850378,,,,,,,0.326838008439,1.318666666667
27480,1.348355848282,1.342138756439,1.323550423860,1.292762881573,1.250050694692,1.195787394908,1.130408582156,1.054376120662,0.968123275554,0.871933674304,0.765729069423,0.648588148722,0.517344632806,0.360505692881,,,,,,,0.325969626820,1.318333333333
