时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
62400,0.309260840811,0.308956156607,0.308040846004,0.306511071153,0.304360204445,0.301578458610,0.298152316162,0.294063694356,0.289288742735,0.283796107196,0.277544386880,0.270478317276,0.262522848645,0.253573556432,0.243480233978,0.232016744532,0.218820075326,0.203249388523,0.183985211506,0.157369012385,0.088339124496
62460,0.308987043313,0.308682770566,0.307768694859,0.306240979976,0.304093001213,0.301314975774,0.297893392668,0.293810178324,0.289041495074,0.283556006569,0.277312336594,0.270255255055,0.262309760763,0.253371498777,0.243290364638,0.231840376818,0.218658770097,0.203105130931,0.183860798903,0.157269082554,0.088236139185
62520,0.308713967571,0.308410105174,0.307497261047,0.305971600603,0.303826502040,0.301052187029,0.297635151064,0.293557329736,0.288794898146,0.283316537666,0.277080896688,0.270032779474,0.262097233303,0.253169972728,0.243100995325,0.231664474542,0.218497892366,0.202961259065,0.183736725967,0.157169443952,0.088133578961
62580,0.308441610882,0.308138157735,0.307226541882,0.305702930366,0.303560704282,0.300790089762,0.297377588778,0.293305146064,0.288548949475,0.283077698073,0.276850064816,0.269810888262,0.261885264075,0.252968976187,0.242912124034,0.231489035806,0.218337440343,0.202817771251,0.183612991133,0.157070095058,0.088031441522
62640,0.308169970560,0.307866925564,0.306956534691,0.305434966609,0.303295605307,0.300528681374,0.297120703247,0.293053624794,0.288303646599,0.282839485387,0.276619838641,0.269589579157,0.261673850900,0.252768507061,0.242723748774,0.231314058721,0.218177412252,0.202674665827,0.183489592844,0.156971034359,0.087929724583
62700,0.307899043927,0.307596405988,0.306687236810,0.305167706686,0.303031202495,0.300267959275,0.296864491922,0.292802763420,0.288058987066,0.282601897217,0.276390215839,0.269368849908,0.261462991609,0.252568563273,0.242535867560,0.231139541407,0.218017806323,0.202531941140,0.183366529555,0.156872260358,0.087828425872
62760,0.307628828321,0.307326596347,0.306418645591,0.304901147966,0.302767493238,0.300007920889,0.296608952263,0.292552559450,0.287814968435,0.282364931181,0.276161194096,0.269148698277,0.261252684044,0.252369142752,0.242348478420,0.230965481997,0.217858620800,0.202389595544,0.183243799731,0.156773771565,0.087727543135
62820,0.307359321088,0.307057493992,0.306150758394,0.304635287826,0.302504474939,0.299748563651,0.296354081745,0.292303010401,0.287571588277,0.282128584911,0.275932771109,0.268929122034,0.261042926057,0.252170243440,0.242161579393,0.230791878630,0.217699853932,0.202247627406,0.183121401846,0.156675566503,0.087627074126
62880,0.307090519587,0.306789096286,0.305883572592,0.304370123658,0.302242145013,0.299489885006,0.296099877851,0.292054113805,0.287328844174,0.281892856046,0.275704944587,0.268710118960,0.260833715512,0.251971863290,0.241975168525,0.230618729460,0.217541503982,0.202106035102,0.182999334385,0.156577643705,0.087527016620
62940,0.306822421191,0.306521400603,0.305617085571,0.304105652864,0.301980500886,0.299231882413,0.295846338077,0.291805867201,0.287086733721,0.281657742241,0.275477712247,0.268491686850,0.260625050282,0.251774000261,0.241789243874,0.230446032646,0.217383569221,0.201964817018,0.182877595842,0.156480001717,0.087427368401
