时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
181380,0.158445297728,0.158345078780,0.158043668438,0.157538773406,0.156826455997,0.155900948835,0.154754368626,0.153376296293,0.151753170668,0.149867410301,0.147696121956,0.145209153638,0.142366058483,0.139111148435,0.135364970620,0.131008508166,0.125850887330,0.119553593032,0.111410349165,0.099400548576,0.053385087450
181440,0.158422738637,0.158322544560,0.158021208947,0.157516438858,0.156804297218,0.155879017549,0.154732717791,0.153354980503,0.151732246657,0.149846937589,0.147676163708,0.145189777835,0.142347339591,0.139093169859,0.135347828522,0.130992317780,0.125835794323,0.119539796582,0.111398158504,0.099390580277,0.053382946189
181500,0.158400194263,0.158300025037,0.157998764098,0.157494118859,0.156782152856,0.155857100512,0.154711080998,0.153333678508,0.151711336153,0.149826478053,0.147656218261,0.145170414411,0.142328632603,0.139075202656,0.135330697201,0.130976137497,0.125820710653,0.119526008575,0.111385975196,0.099380617866,0.053380807161
181560,0.158377664588,0.158277520196,0.157976333874,0.157471813393,0.156760022898,0.155835197710,0.154689458232,0.153312390293,0.151690439141,0.149806031680,0.147636285601,0.145151063351,0.142309937506,0.139057246812,0.135313576644,0.130959967308,0.125805636310,0.119512229002,0.111373799235,0.099370661335,0.053378670362
181620,0.158355149598,0.158255030021,0.157953918262,0.157449522445,0.156737907328,0.155813309128,0.154667849480,0.153291115845,0.151669555609,0.149785598455,0.147616365715,0.145131724644,0.142291254287,0.139039302316,0.135296466841,0.130943807202,0.125790571285,0.119498457853,0.111361630613,0.099360710680,0.053376535790
181680,0.158332649276,0.158232554496,0.157931517244,0.157427245999,0.156715806130,0.155791434750,0.154646254724,0.153269855148,0.151648685540,0.149765178366,0.147596458589,0.145112398275,0.142272582934,0.139021369157,0.135279367780,0.130927657168,0.125775515569,0.119484695122,0.111349469323,0.099350765894,0.053374403441
181740,0.158310163608,0.158210093607,0.157909130806,0.157404984040,0.156693719289,0.155769574561,0.154624673952,0.153248608188,0.151627828922,0.149744771396,0.147576564211,0.145093084232,0.142253923434,0.139003447322,0.135262279451,0.130911517197,0.125760469150,0.119470940799,0.111337315357,0.099340826971,0.053372273312
181800,0.158287692577,0.158187647336,0.157886758932,0.157382736553,0.156671646790,0.155747728547,0.154603107148,0.153227374951,0.151606985739,0.149724377534,0.147556682566,0.145073782501,0.142235275775,0.138985536800,0.135245201841,0.130895387277,0.125745432021,0.119457194875,0.111325168708,0.099330893906,0.053370145399
181860,0.158265236168,0.158165215669,0.157864401606,0.157360503522,0.156649588617,0.155725896692,0.154581554297,0.153206155421,0.151586155978,0.149703996765,0.147536813641,0.145054493071,0.142216639945,0.138967637579,0.135228134941,0.130879267398,0.125730404171,0.119443457343,0.111313029368,0.099320966692,0.053368019701
181920,0.158242794366,0.158142798589,0.157842058812,0.157338284932,0.156627544756,0.155704078981,0.154560015384,0.153184949584,0.151565339624,0.149683629075,0.147516957423,0.145035215928,0.142198015932,0.138949749647,0.135211078738,0.130863157550,0.125715385592,0.119429728193,0.111300897331,0.099311045325,0.053365896212
181980,0.158220367154,0.158120396082,0.157819730536,0.157316080767,0.156605515191,0.155682275398,0.154538490395,0.153163757426,0.151544536664,0.149663274451,0.147497113898,0.145015951059,0.142179403722,0.138931872993,0.135194033222,0.130847057723,0.125700376273,0.119416007417,0.111288772588,0.099301129798,0.053363774931
182040,0.158197954517,0.158098008132,0.157797416762,0.157293891012,0.156583499907,0.155660485930,0.154516979314,0.153142578932,0.151523747082,0.149642932878,0.147477283053,0.144996698452,0.142160803304,0.138914007603,0.135176998382,0.130830967906,0.125685376204,0.119402295007,0.111276655133,0.099291220105,0.053361655854
182100,0.158175556440,0.158075634724,0.157775117475,0.157271715652,0.156561498888,0.155638710561,0.154495482128,0.153121414087,0.151502970865,0.149622604343,0.147457464875,0.144977458092,0.142142214665,0.138896153468,0.135159974206,0.130814888090,0.125670385378,0.119388590953,0.111264544958,0.099281316241,0.053359538977
182160,0.158153172907,0.158053275841,0.157752832658,0.157249554671,0.156539512121,0.155616949276,0.154473998821,0.153100262878,0.151482207999,0.149602288833,0.147437659351,0.144958229969,0.142123637793,0.138878310575,0.135142960684,0.130798818262,0.125655403783,0.119374895249,0.111252442056,0.099271418199,0.053357424299
182220,0.158130803903,0.158030931469,0.157730562297,0.157227408054,0.156517539588,0.155595202061,0.154452529379,0.153079125290,0.151461458470,0.149581986333,0.147417866467,0.144939014068,0.142105072676,0.138860478913,0.135125957804,0.130782758414,0.125640431411,0.119361207884,0.111240346419,0.099261525975,0.053355311815
182280,0.158108449413,0.158008601591,0.157708306377,0.157205275786,0.156495581276,0.155573468899,0.154431073786,0.153058001309,0.151440722264,0.149561696829,0.147398086209,0.144919810377,0.142086519301,0.138842658469,0.135108965556,0.130766708536,0.125625468253,0.119347528851,0.111228258041,0.099251639563,0.053353201522
182340,0.158086109420,0.157986286194,0.157686064881,0.157183157852,0.156473637169,0.155551749777,0.154409632029,0.153036890919,0.151419999366,0.149541420309,0.147378318565,0.144900618884,0.142067977657,0.138824849232,0.135091983929,0.130750668616,0.125610514298,0.119333858140,0.111216176913,0.099241758955,0.053351093418
182400,0.158063783909,0.157963985260,0.157663837795,0.157161054236,0.156451707252,0.155530044679,0.154388204092,0.153015794107,0.151399289762,0.149521156758,0.147358563521,0.144881439575,0.142049447730,0.138807051191,0.135075012911,0.130734638644,0.125595569537,0.119320195745,0.111204103030,0.099231884148,0.053348987499
182460,0.158041472866,0.157941698776,0.157641625104,0.157138964923,0.156429791510,0.155508353591,0.154366789962,0.152994710859,0.151378593439,0.149500906163,0.147338821065,0.144862272437,0.142030929509,0.138789264334,0.135058052491,0.130718618611,0.125580633962,0.119306541656,0.111192036382,0.099222015135,0.053346883762
182520,0.158019176274,0.157919426725,0.157619426791,0.157116889898,0.156407889929,0.155486676498,0.154345389623,0.152973641159,0.151357910383,0.149480668510,0.147319091182,0.144843117459,0.142012422982,0.138771488649,0.135041102659,0.130702608507,0.125565707561,0.119292895864,0.111179976964,0.099212151910,0.053344782203
182580,0.157996894119,0.157897169093,0.157597242842,0.157094829147,0.156386002492,0.155465013385,0.154324003061,0.152952584995,0.151337240579,0.149460443786,0.147299373861,0.144823974627,0.141993928136,0.138753724125,0.135024163404,0.130686608320,0.125550790328,0.119279258362,0.111167924767,0.099202294468,0.053342682821
182640,0.157974626384,0.157874925863,0.157575073242,0.157072782652,0.156364129186,0.155443364237,0.154302630261,0.152931542351,0.151316584013,0.149440231977,0.147279669086,0.144804843928,0.141975444959,0.138735970750,0.135007234715,0.130670618041,0.125535882251,0.119265629142,0.111155879786,0.099192442803,0.053340585611
